,steps,heart_rate
1316,6739,75.87
1317,2501,68.86
1318,8666,79.11
1319,8405,73.78
1320,3785,72.37
1321,9487,74.93
1322,4665,72.85
1323,6778,76.35
1324,7911,72.24
1325,3334,72.35
1326,8831,73.27
1327,13018,77.78
1328,74,64.11
1329,10543,80.38
1330,4503,71.66
1331,4743,72.22
1332,7365,69.97
1333,6313,70.97
1334,8637,72.59
1335,641,64.93
1336,8345,75.76
1337,11296,72.25
1338,8859,72.04
1339,12873,73.19
1340,15479,74.47
1341,8321,72.79
1342,3627,71.78
1343,5377,80.59
1344,8294,75.37
1345,6201,74.95
1346,11877,72.95
1347,6597,73.95
1348,6060,77.39
1349,3466,72.15
1350,11388,77.06
1351,4230,70.53
1352,7519,70.16
1353,2419,74.57
1354,7078,73.9
1355,7122,75.14
1356,7126,80.21
1357,9779,69.79
1358,13377,74.72
1359,7222,76.5
1360,2701,68.69
1361,5408,74.24
1362,5374,77.39
1363,2074,72.92
1364,1777,69.68
1365,4797,73.87
1366,4399,71.22
1367,9993,75.98
1368,6722,76.48
1369,7868,72.51
1370,2751,61.58
