,steps,heart_rate,raw_intensity,feeling_rate,time_of_day
512,401,93.84,85.31,2,5
513,300,86.63,47.95,2,5
514,48,88.0,27.48,2,5
515,29,80.0,49.5,2,6
516,120,133.0,71.38,2,2
517,65,81.16,24.52,2,2
518,75,81.16,31.54,2,3
519,278,81.33,37.22,2,3
520,746,84.92,53.88,1,3
521,372,88.89,45.41,1,3
522,159,84.17,35.47,1,4
523,22,82.2,26.83,1,4
524,2048,86.4,78.84,1,4
525,359,84.36,33.02,1,4
526,43,86.29,31.02,1,5
527,26,97.18,29.74,1,5
528,2113,88.03,69.78,1,5
529,63,82.72,28.78,1,5
530,52,83.05,18.33,1,6
531,50,90.5,34.85,1,2
532,445,90.11,52.1,1,3
533,278,87.6,39.79,1,3
534,260,90.67,40.16,1,3
535,10,84.57,27.05,1,3
536,518,86.49,59.88,1,4
537,1518,85.0,54.87,1,4
538,2306,90.95,74.03,1,4
539,684,92.61,55.09,1,4
540,739,86.04,54.57,1,5
541,1454,84.51,51.55,1,5
542,2291,80.0,71.54,1,5
543,1961,92.19,73.55,1,5
544,129,86.4,41.77,1,6
545,58,93.33,69.0,1,6
546,75,102.14,58.5,2,2
547,2135,88.72,71.76,2,2
548,404,84.36,40.25,2,2
549,148,84.95,35.41,2,3
550,396,82.67,39.72,2,3
551,390,85.09,42.12,2,3
552,0,84.41,25.69,1,3
553,200,81.57,28.61,1,4
554,1364,86.49,51.67,1,4
555,224,83.92,43.08,1,4
556,1099,85.62,59.68,1,4
557,3351,85.82,77.93,1,5
558,721,92.9,83.2,1,5
559,83,86.61,47.13,1,5
560,220,94.93,75.49,1,5
561,28,144.0,60.83,2,2
562,1809,84.57,73.24,2,2
563,853,82.95,39.61,2,2
564,0,80.65,19.22,2,3
565,309,81.42,35.96,2,3
566,328,81.7,30.95,2,3
567,371,83.43,36.69,2,3
568,224,83.74,33.74,2,4
569,228,81.85,32.36,2,4
570,1096,81.52,53.86,2,4
571,385,80.0,87.88,1,4
572,2463,97.8,77.8,1,5
573,165,85.71,41.19,1,5
574,59,85.22,29.06,1,5
575,11,80.76,23.79,1,5
576,28,81.23,24.59,1,6
577,9,82.92,24.64,1,6
578,0,113.33,22.79,1,2
579,706,87.16,52.87,1,3
580,1892,85.47,53.71,1,3
581,1194,84.47,48.22,1,3
582,295,83.33,45.96,1,3
583,125,86.8,39.04,1,4
584,292,84.36,47.35,1,4
585,200,87.58,46.33,2,4
586,185,88.17,51.84,2,4
587,358,92.72,47.64,2,5
588,1304,92.24,62.48,2,5
589,1339,89.95,55.77,2,5
590,282,82.55,34.42,2,5
591,241,83.84,36.93,2,6
592,126,80.91,34.84,2,6
593,1621,83.03,54.76,2,6
594,1075,88.5,78.05,2,6
595,1403,100.95,69.03,2,3
596,337,83.37,52.58,2,3
597,607,93.33,73.33,2,3
598,1488,89.48,81.96,2,4
599,698,84.98,40.05,2,4
600,781,83.9,39.85,2,4
601,697,81.42,37.23,2,4
602,9,81.54,14.83,2,5
603,141,82.21,31.58,2,5
604,1274,80.0,54.97,2,5
605,2078,82.0,60.3,2,5
606,26,82.0,33.06,2,6
607,435,143.0,105.22,3,2
608,637,87.02,50.88,3,2
609,220,88.93,42.33,3,3
610,363,89.44,49.4,3,3
611,1357,87.17,58.2,1,3
612,15,81.9,38.12,1,3
613,27,86.74,34.86,1,4
614,285,87.44,43.83,1,4
615,613,89.45,52.11,1,4
616,2728,94.15,84.9,1,4
617,1825,87.5,61.4,1,5
618,1348,90.97,65.53,1,5
619,1161,82.91,54.95,1,5
620,940,92.12,59.82,1,5
621,194,87.64,41.25,1,6
622,0,97.5,30.5,2,6
623,5,87.33,34.0,2,2
624,117,89.77,42.47,2,2
625,695,92.69,51.75,2,3
626,347,91.79,43.72,2,3
627,158,85.22,38.71,2,3
628,276,87.64,45.61,2,3
629,394,87.8,42.73,2,4
630,141,85.45,38.0,2,4
631,2028,92.27,72.34,2,4
632,1569,85.94,56.95,2,4
633,1664,83.56,61.02,2,5
634,246,86.86,42.58,2,5
635,61,84.62,37.56,2,5
636,11,85.15,37.39,2,5
637,51,83.0,33.84,2,6
638,150,136.5,94.5,2,2
639,2926,88.8,72.15,2,2
640,683,90.78,44.41,2,3
641,1259,85.05,54.43,2,3
642,281,83.67,41.47,2,3
643,76,82.91,33.97,2,3
644,224,85.43,34.5,2,4
645,99,87.14,33.6,2,4
646,322,84.36,40.97,2,4
647,245,85.33,43.25,2,4
648,2415,92.44,79.9,2,5
649,1730,95.06,71.53,2,5
650,3436,83.37,81.32,2,5
651,1364,87.5,66.2,2,5
652,91,93.95,59.54,2,6
653,178,93.09,59.55,2,2
654,168,87.36,42.83,2,2
655,2212,90.67,68.07,2,3
656,348,85.55,40.18,2,3
657,235,87.25,36.69,2,3
658,173,85.88,37.2,2,3
659,352,88.59,47.61,2,4
660,188,82.72,34.4,2,4
661,0,82.44,21.85,2,4
662,64,81.12,29.58,2,4
663,1402,83.56,49.03,2,5
664,1427,80.89,52.3,2,5
665,594,91.35,73.98,2,5
666,420,94.0,82.57,2,5
667,1177,81.56,52.22,2,6
668,582,80.63,47.41,2,6
669,456,99.0,89.88,2,6
670,0,134.0,27.0,2,6
671,0,134.0,23.0,2,1
672,0,134.0,26.0,2,1
673,0,134.0,15.0,2,2
674,0,134.0,17.25,2,2
675,870,97.77,62.77,2,2
676,1681,82.95,61.6,2,2
677,7,81.08,35.56,2,3
678,165,83.43,38.13,2,3
679,358,85.57,44.68,2,3
680,861,87.77,54.3,2,3
681,1275,92.36,67.0,2,4
682,491,84.29,52.73,2,4
683,645,92.14,67.35,2,4
684,489,86.56,43.5,2,4
685,1093,89.6,63.1,2,5
686,1239,92.31,68.26,2,5
687,1161,83.39,61.62,2,5
688,142,86.15,53.92,2,5
689,179,84.84,54.58,2,6
690,97,89.1,37.7,3,6
691,222,86.4,55.7,3,6
692,0,115.0,7.0,3,6
693,258,92.66,60.52,3,2
694,247,85.82,54.75,3,3
695,261,87.83,48.35,3,3
696,331,86.13,53.18,2,3
697,4184,84.57,92.47,2,3
698,1498,93.14,73.57,2,4
699,781,91.73,66.51,2,4
700,261,88.7,49.87,2,4
701,288,87.62,66.75,3,4
702,253,90.18,55.25,3,5
703,407,85.07,55.77,3,5
704,487,85.94,60.43,3,5
705,179,86.94,51.12,3,5
706,124,86.77,54.42,3,6
707,182,88.0,61.77,2,6
708,70,83.92,39.05,2,6
709,1948,92.44,81.1,2,6
710,355,89.2,59.05,2,1
711,176,84.0,53.09,2,1
712,0,87.33,32.5,2,1
713,26,126.5,44.64,2,1
714,282,98.91,66.62,2,2
715,0,87.33,17.6,2,2
716,383,104.89,52.83,2,2
717,99,86.67,33.31,2,2
718,389,83.64,59.52,2,3
719,96,86.38,58.36,2,3
720,128,110.82,43.39,3,3
721,342,93.95,49.5,3,4
722,1811,90.95,71.4,3,4
723,1821,88.53,63.22,3,4
724,148,91.29,47.0,2,4
725,1194,89.6,65.29,2,5
726,39,87.3,45.97,2,5
727,839,96.0,82.08,2,5
728,427,88.0,52.36,2,5
729,67,84.48,32.8,2,6
730,46,84.27,39.62,2,6
731,0,87.33,26.0,2,6
732,0,87.33,28.33,2,6
733,0,87.33,17.0,2,1
734,0,87.33,26.6,2,1
735,9,87.33,15.88,2,1
736,0,87.33,21.5,2,1
737,0,87.33,18.5,2,2
738,0,113.8,16.0,2,2
739,0,87.33,18.36,2,2
740,7,92.43,36.75,2,2
741,307,89.14,52.56,2,3
742,1984,93.0,82.02,2,3
743,687,86.96,55.81,2,3
744,4118,92.57,90.88,2,3
745,336,86.48,48.47,2,4
746,1658,84.65,66.73,2,4
747,169,87.67,48.37,2,4
748,230,85.88,45.59,2,4
749,92,88.89,41.82,2,5
750,13,86.24,32.08,2,5
751,2099,85.0,67.44,2,5
752,414,83.2,47.82,2,5
753,18,80.63,31.29,2,6
754,0,115.0,26.67,2,2
755,1345,95.79,72.89,2,2
756,1004,80.82,42.16,2,2
757,157,80.0,32.2,2,3
758,44,82.82,29.27,2,3
759,408,83.92,43.35,2,3
760,209,85.22,34.22,2,3
761,329,84.17,34.55,2,4
762,262,85.02,28.02,2,4
763,995,83.05,43.05,2,4
764,652,81.07,35.36,2,4
765,3283,83.2,77.17,2,5
766,410,88.0,46.07,2,5
767,206,85.33,36.67,2,5
768,141,83.13,33.28,2,5
769,0,115.0,13.0,2,6
770,0,115.0,30.5,2,2
771,13,96.0,48.62,2,2
772,188,87.0,38.0,2,2
773,871,90.0,67.17,2,3
774,138,88.0,35.65,2,3
775,217,84.76,44.76,2,3
776,1215,82.67,61.39,2,3
777,35,83.2,33.59,2,4
778,130,87.41,44.34,2,4
779,559,87.56,55.96,2,4
780,2904,87.0,73.02,2,4
781,3219,87.47,75.72,2,5
782,1717,82.13,53.04,2,5
783,6,80.0,23.69,2,5
784,3486,82.0,79.86,2,5
785,395,82.67,37.17,2,6
786,150,89.58,30.18,2,6
787,0,115.0,27.5,2,2
788,53,86.2,39.76,2,2
789,80,86.46,35.16,2,2
790,176,85.74,37.38,2,3
791,20,82.33,32.91,2,3
792,166,85.0,42.61,2,3
793,379,83.61,43.76,2,3
794,186,85.46,45.9,2,4
795,34,84.86,27.47,2,4
796,280,90.95,61.96,2,4
797,724,93.87,76.08,2,4
798,1881,96.0,83.32,2,5
799,94,81.63,26.24,2,5
800,50,86.13,38.3,2,5
801,67,86.6,29.79,2,5
802,1040,100.36,68.4,2,2
803,1035,84.84,43.62,2,2
804,184,84.57,40.1,2,3
805,573,87.38,44.78,2,3
806,467,91.53,43.5,2,3
807,851,88.0,44.17,2,3
808,225,86.91,32.42,2,4
809,982,87.53,50.68,2,4
