date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2021-05-26,44,256,58,2021-05-25 23:50:00+0000,2021-05-26 08:04:00+0000,136,"[{\"start\":\"2019-04-14 00:38:59+0000\",\"end\":\"2019-04-14 00:39:29+0000\"}]"
2021-05-27,35,222,55,2021-05-26 23:50:00+0000,2021-05-27 07:00:00+0000,118,
2021-05-28,97,269,18,2021-05-27 23:41:00+0000,2021-05-28 07:22:00+0000,77,
2021-05-29,55,211,5,2021-05-28 23:27:00+0000,2021-05-29 05:20:00+0000,82,"[{\"start\":\"2019-04-14 00:32:44+0000\",\"end\":\"2019-04-14 00:33:12+0000\"},{\"start\":\"2019-04-14 00:33:13+0000\",\"end\":\"2019-04-14 00:33:13+0000\"},{\"start\":\"2019-04-14 00:33:14+0000\",\"end\":\"2019-04-14 00:33:28+0000\"}]"
2021-05-30,75,331,63,2021-05-29 23:14:00+0000,2021-05-30 08:06:00+0000,63,
2021-05-31,31,263,18,2021-05-30 23:33:00+0000,2021-05-31 06:11:00+0000,86,"[{\"start\":\"2019-04-14 00:33:18+0000\",\"end\":\"2019-04-14 00:33:49+0000\"}]"
2021-06-01,66,255,27,2021-05-31 23:41:00+0000,2021-06-01 06:40:00+0000,71,
2021-06-02,63,267,71,2021-06-01 23:07:00+0000,2021-06-02 08:19:00+0000,151,
2021-06-03,30,218,98,2021-06-02 23:16:00+0000,2021-06-03 06:54:00+0000,112,
2021-06-04,83,220,4,2021-06-03 23:59:00+0000,2021-06-04 06:30:00+0000,84,
2021-06-05,96,284,41,2021-06-04 23:19:00+0000,2021-06-05 07:20:00+0000,60,
2021-06-06,32,220,54,2021-06-05 23:55:00+0000,2021-06-06 06:54:00+0000,113,
2021-06-07,57,194,52,2021-06-06 23:58:00+0000,2021-06-07 06:53:00+0000,112,
2021-06-08,45,223,14,2021-06-07 23:25:00+0000,2021-06-08 05:05:00+0000,58,"[{\"start\":\"2019-04-14 00:32:15+0000\",\"end\":\"2019-04-14 00:33:02+0000\"}]"
2021-06-09,66,275,9,2021-06-08 22:44:00+0000,2021-06-09 06:25:00+0000,111,
2021-06-10,25,275,22,2021-06-09 23:28:00+0000,2021-06-10 07:01:00+0000,131,
2021-06-11,42,230,22,2021-06-10 22:59:00+0000,2021-06-11 05:54:00+0000,121,
2021-06-12,69,233,18,2021-06-11 23:42:00+0000,2021-06-12 06:29:00+0000,87,
2021-06-13,70,251,64,2021-06-12 23:01:00+0000,2021-06-13 07:23:00+0000,117,
2021-06-14,15,225,19,2021-06-13 23:34:00+0000,2021-06-14 05:32:00+0000,99,
2021-06-15,65,240,16,2021-06-14 23:01:00+0000,2021-06-15 06:11:00+0000,109,
2021-06-16,60,251,24,2021-06-15 23:09:00+0000,2021-06-16 06:49:00+0000,125,
2021-06-17,61,245,19,2021-06-16 23:38:00+0000,2021-06-17 06:38:00+0000,95,
2021-06-18,29,160,5,2021-06-18 00:44:00+0000,2021-06-18 05:07:00+0000,69,"[{\"start\":\"2019-04-14 00:32:14+0000\",\"end\":\"2019-04-14 00:32:29+0000\"},{\"start\":\"2019-04-14 00:32:30+0000\",\"end\":\"2019-04-14 00:32:30+0000\"},{\"start\":\"2019-04-14 00:32:31+0000\",\"end\":\"2019-04-14 00:32:58+0000\"}]"
2021-06-19,25,248,0,2021-06-19 00:08:00+0000,2021-06-19 07:11:00+0000,150,
2021-06-20,107,309,31,2021-06-19 23:53:00+0000,2021-06-20 08:21:00+0000,61,
2021-06-21,29,260,18,2021-06-20 22:49:00+0000,2021-06-21 06:00:00+0000,124,"[{\"start\":\"2019-04-14 00:37:29+0000\",\"end\":\"2019-04-14 00:38:37+0000\"}]"
2021-06-22,85,250,8,2021-06-21 23:02:00+0000,2021-06-22 06:00:00+0000,75,"[{\"start\":\"2019-04-14 00:33:19+0000\",\"end\":\"2019-04-14 00:33:43+0000\"}]"
2021-06-23,65,245,25,2021-06-22 23:02:00+0000,2021-06-23 06:35:00+0000,118,
2021-06-24,29,234,39,2021-06-23 23:07:00+0000,2021-06-24 05:58:00+0000,109,
2021-06-25,15,273,51,2021-06-24 23:18:00+0000,2021-06-25 07:02:00+0000,125,
2021-06-26,40,285,47,2021-06-25 23:10:00+0000,2021-06-26 07:04:00+0000,102,
2021-06-27,39,271,55,2021-06-26 23:21:00+0000,2021-06-27 07:31:00+0000,125,
2021-06-28,86,267,29,2021-06-27 23:05:00+0000,2021-06-28 06:36:00+0000,69,
2021-06-29,52,265,9,2021-06-28 23:29:00+0000,2021-06-29 06:53:00+0000,118,
2021-06-30,38,257,8,2021-06-29 23:17:00+0000,2021-06-30 06:05:00+0000,105,
2021-07-01,70,262,3,2021-06-30 23:30:00+0000,2021-07-01 06:52:00+0000,107,
2021-07-02,32,227,31,2021-07-01 23:42:00+0000,2021-07-02 05:51:00+0000,79,
2021-07-03,71,203,26,2021-07-02 23:34:00+0000,2021-07-03 06:01:00+0000,87,
2021-07-04,98,333,5,2021-07-03 23:01:00+0000,2021-07-04 07:10:00+0000,53,
2021-07-05,15,259,42,2021-07-04 23:20:00+0000,2021-07-05 06:38:00+0000,122,
2021-07-06,55,218,11,2021-07-06 00:06:00+0000,2021-07-06 06:34:00+0000,104,
2021-07-07,55,195,91,2021-07-06 23:14:00+0000,2021-07-07 07:06:00+0000,131,
2021-07-08,51,181,24,2021-07-07 23:15:00+0000,2021-07-08 05:15:00+0000,104,
2021-07-09,57,205,11,2021-07-09 00:00:00+0000,2021-07-09 05:28:00+0000,55,
2021-07-10,40,255,75,2021-07-09 23:03:00+0000,2021-07-10 07:37:00+0000,144,
2021-07-11,67,284,55,2021-07-10 21:06:00+0000,2021-07-11 06:25:00+0000,153,
2021-07-12,66,259,34,2021-07-11 23:43:00+0000,2021-07-12 06:39:00+0000,57,
2021-07-13,38,252,19,2021-07-13 00:25:00+0000,2021-07-13 07:33:00+0000,119,
2021-07-14,30,267,3,2021-07-13 23:16:00+0000,2021-07-14 05:47:00+0000,91,
2021-07-15,59,264,10,2021-07-14 23:50:00+0000,2021-07-15 06:45:00+0000,82,
2021-07-16,22,263,2,2021-07-15 23:11:00+0000,2021-07-16 05:45:00+0000,107,
2021-07-17,15,235,53,2021-07-16 22:49:00+0000,2021-07-17 05:59:00+0000,127,
2021-07-18,60,252,11,2021-07-18 00:15:00+0000,2021-07-18 06:42:00+0000,64,
2021-07-19,7,312,0,2021-07-18 22:51:00+0000,2021-07-19 06:39:00+0000,149,
2021-07-20,14,298,0,2021-07-19 23:43:00+0000,2021-07-20 06:55:00+0000,120,
2021-07-21,11,185,40,2021-07-20 23:08:00+0000,2021-07-21 04:37:00+0000,93,
2021-07-22,63,205,48,2021-07-21 23:20:00+0000,2021-07-22 06:35:00+0000,119,"[{\"start\":\"2019-04-14 00:18:28+0000\",\"end\":\"2019-04-14 00:19:11+0000\"}]"
2021-07-23,24,229,15,2021-07-22 23:11:00+0000,2021-07-23 05:23:00+0000,104,"[{\"start\":\"2019-04-14 00:32:28+0000\",\"end\":\"2019-04-14 00:32:43+0000\"},{\"start\":\"2019-04-14 00:32:44+0000\",\"end\":\"2019-04-14 00:32:45+0000\"},{\"start\":\"2019-04-14 00:32:46+0000\",\"end\":\"2019-04-14 00:33:06+0000\"},{\"start\":\"2019-04-14 00:33:07+0000\",\"end\":\"2019-04-14 00:33:14+0000\"},{\"start\":\"2019-04-14 00:33:15+0000\",\"end\":\"2019-04-14 00:33:17+0000\"}]"
2021-07-24,79,255,9,2021-07-23 23:07:00+0000,2021-07-24 06:48:00+0000,118,
2021-07-25,34,247,115,2021-07-24 22:55:00+0000,2021-07-25 08:01:00+0000,150,
2021-07-26,73,216,24,2021-07-25 23:18:00+0000,2021-07-26 06:27:00+0000,116,
2021-07-27,0,0,0,2021-07-25 22:00:00+0000,2021-07-25 22:00:00+0000,0,
2021-07-28,40,248,13,2021-07-27 23:10:00+0000,2021-07-28 05:34:00+0000,83,"[{\"start\":\"2019-04-14 00:33:14+0000\",\"end\":\"2019-04-14 00:33:44+0000\"},{\"start\":\"2019-04-14 00:33:45+0000\",\"end\":\"2019-04-14 00:33:49+0000\"},{\"start\":\"2019-04-14 00:33:50+0000\",\"end\":\"2019-04-14 00:34:04+0000\"}]"
2021-07-29,48,251,47,2021-07-28 22:03:00+0000,2021-07-29 06:10:00+0000,141,
2021-07-30,25,300,8,2021-07-29 23:31:00+0000,2021-07-30 05:25:00+0000,21,
2021-07-31,24,133,4,2021-07-31 02:23:00+0000,2021-07-31 05:54:00+0000,50,
2021-08-01,81,221,41,2021-07-31 23:11:00+0000,2021-08-01 07:09:00+0000,135,
2021-08-02,66,252,43,2021-08-01 22:55:00+0000,2021-08-02 06:36:00+0000,100,
2021-08-03,0,0,0,2021-08-01 22:00:00+0000,2021-08-01 22:00:00+0000,0,
2021-08-04,99,215,73,2021-08-03 23:18:00+0000,2021-08-04 07:15:00+0000,90,
2021-08-05,78,231,2,2021-08-04 23:18:00+0000,2021-08-05 06:32:00+0000,123,
2021-08-06,38,251,24,2021-08-05 23:09:00+0000,2021-08-06 06:29:00+0000,127,
2021-08-07,34,198,29,2021-08-07 00:15:00+0000,2021-08-07 06:15:00+0000,99,"[{\"start\":\"2019-04-14 00:33:30+0000\",\"end\":\"2019-04-14 00:34:00+0000\"},{\"start\":\"2019-04-14 00:34:01+0000\",\"end\":\"2019-04-14 00:34:06+0000\"},{\"start\":\"2019-04-14 00:34:07+0000\",\"end\":\"2019-04-14 00:34:20+0000\"}]"
2021-08-08,23,244,2,2021-08-07 23:19:00+0000,2021-08-08 05:41:00+0000,113,"[{\"start\":\"2019-04-14 00:33:06+0000\",\"end\":\"2019-04-14 00:33:23+0000\"},{\"start\":\"2019-04-14 00:33:24+0000\",\"end\":\"2019-04-14 00:33:24+0000\"},{\"start\":\"2019-04-14 00:33:25+0000\",\"end\":\"2019-04-14 00:34:00+0000\"}]"
2021-08-09,24,270,4,2021-08-08 23:39:00+0000,2021-08-09 06:24:00+0000,107,
2021-08-10,23,283,13,2021-08-09 23:01:00+0000,2021-08-10 06:22:00+0000,122,
2021-08-11,79,221,55,2021-08-10 22:53:00+0000,2021-08-11 07:00:00+0000,132,
2021-08-12,29,258,46,2021-08-11 23:04:00+0000,2021-08-12 06:59:00+0000,142,
2021-08-13,73,295,24,2021-08-12 23:28:00+0000,2021-08-13 06:56:00+0000,56,
2021-08-14,30,263,75,2021-08-13 23:20:00+0000,2021-08-14 07:50:00+0000,142,"[{\"start\":\"2019-04-14 00:36:38+0000\",\"end\":\"2019-04-14 00:37:20+0000\"}]"
2021-08-15,14,315,6,2021-08-14 23:52:00+0000,2021-08-15 07:36:00+0000,129,
2021-08-16,27,227,1,2021-08-16 00:24:00+0000,2021-08-16 05:10:00+0000,31,
2021-08-17,86,216,33,2021-08-16 23:09:00+0000,2021-08-17 05:59:00+0000,75,
2021-08-18,63,265,22,2021-08-18 00:42:00+0000,2021-08-18 07:01:00+0000,29,
2021-08-19,24,242,49,2021-08-18 22:51:00+0000,2021-08-19 06:12:00+0000,126,
2021-08-20,81,264,13,2021-08-19 23:00:00+0000,2021-08-20 05:58:00+0000,60,
2021-08-21,56,362,79,2021-08-20 22:59:00+0000,2021-08-21 07:59:00+0000,43,
2021-08-22,47,233,1,2021-08-21 22:59:00+0000,2021-08-22 05:16:00+0000,96,
2021-08-23,59,354,31,2021-08-22 22:54:00+0000,2021-08-23 06:56:00+0000,38,
2021-08-24,67,294,23,2021-08-23 23:20:00+0000,2021-08-24 06:58:00+0000,74,
2021-08-25,74,242,20,2021-08-24 23:06:00+0000,2021-08-25 05:29:00+0000,47,
